market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous,average_score,any_ambiguous,review_bucket
CENTER-WESTPORT 110552 A 115 KV,CENTER 115 KV CEN-WES2 Westport-Center (110551) 115 KV line,CENTER 115KV - WESTPORT 115KV (CENTER 115 KV CEN-WES2),high,high,0.9172,0.71,False,False,0.8136,False,highest_confidence
CENTER-WESTPORT 110552 A 115 KV,CENTER 115 KV CEN-WES2 Westport-Center (110551) 115 KV line,WESTPORT 115KV - CENTER 115KV (CENTER 115 KV CEN-WES2),high,high,0.9159,0.7,False,False,0.80795,False,highest_confidence
CENTER-WESTPORT 110552 A 115 KV,CENTER 115 KV CEN-WES2 Westport-Center (110551) 115 KV line,WESTPORT 115KV - CENTER 115KV (CENTER 115 KV CEN-WES2),high,high,0.9111,0.7045,False,False,0.8078000000000001,False,highest_confidence
CENTER-WESTPORT 110552 A 115 KV,CENTER 115 KV CEN-WES2 Westport-Center (110551) 115 KV line,WESTPORT 115KV - CENTER 115KV (CENTER 115 KV CEN-WES2),high,high,0.9111,0.7045,True,False,0.8078000000000001,True,highest_confidence
CENTER-WESTPORT 110552 A 115 KV,CENTER 115 KV CEN-WES2 Westport-Center (110551) 115 KV line,WESTPORT 115KV - CENTER 115KV (CENTER 115 KV CEN-WES2),high,high,0.9111,0.7045,False,False,0.8078000000000001,False,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9403,0.6661,False,True,0.8032,True,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9479,0.6507,False,True,0.7992999999999999,True,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9479,0.6507,False,True,0.7992999999999999,True,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9403,0.6507,False,True,0.7955,True,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9403,0.6507,False,True,0.7955,True,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.942,0.6474,False,True,0.7947,True,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True,0.79095,True,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True,0.79095,True,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True,0.79095,True,highest_confidence
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True,0.79095,True,highest_confidence
KEENEY 230 KV KEENEY-STEELE 23009,KEENEY_230 KV_KEE-STE9:Keeney-Steele.23001,KEENEY 230KV - STEELE 230KV (KEENEY 230 KV KEE-STE9),high,medium,0.9172,0.65,False,False,0.7836000000000001,False,highest_confidence
KEENEY 230 KV KEENEY-STEELE 23009,KEENEY_230 KV_KEE-STE9:Keeney-Steele.23001,KEENEY 230KV - STEELE 230KV (KEENEY 230 KV KEE-STE9),high,medium,0.9172,0.65,False,False,0.7836000000000001,False,highest_confidence
KEENEY 230 KV KEENEY-STEELE 23009,KEENEY_230 KV_KEE-STE9:Keeney-Steele.23001,KEENEY 230KV - STEELE 230KV (KEENEY 230 KV KEE-STE9),high,medium,0.9172,0.65,False,False,0.7836000000000001,False,highest_confidence
KEENEY 230 KV KEENEY-STEELE 23001,KEENEY_230 KV_KEE-STE1:Keeney-Steele.23009,KEENEY 230KV - STEELE 230KV (KEENEY 230 KV KEE-STE1),high,medium,0.9172,0.65,False,False,0.7836000000000001,False,highest_confidence
JACK ME 230 KV JACK ME-TMI 1051,JACK ME_230 KV_JAC-TMI:500/230.Conastone.500-4,TMI 230KV - JACK ME 230KV (JACK ME 230 KV JAC-TMI),high,medium,0.9278,0.6389,False,True,0.78335,True,highest_confidence
ESAYRE 115 KV ESAYRE-ETOWANDA ETS 1056,ESAYRE_115 KV_ESA-ETO:L230.ETowanda-Hillside.2002 [NYISO],ETOWANDA 115KV - ESAYRE 115KV (ESAYRE 115 KV ESA-ETO),high,medium,0.88,0.5197,False,True,0.6998500000000001,True,medium_confidence
CLY 115 KV CLY-NEWBERRY 975-2,CLY_115 KV_CLY-NEW:ACTUAL,CLY 115KV - NEWBERRY 115KV (CLY 115 KV CLY-NEW),high,medium,0.8952,0.5033,False,True,0.6992499999999999,True,medium_confidence
ELIMSPOR 230 KV ELIMSPOR-SUNBURY,ELIMSPOR230 KV ELI-SUN MONTOUR-COLUMBIA 230 LINE,ELIMSPOR 230KV - SUNBURY 230KV (ELIMSPOR 230 KV ELI-SUN),high,medium,0.8769,0.5214,False,True,0.6991499999999999,True,medium_confidence
GARDNERS 115 KV GARDNERS-MOUN ME 974,MOUN ME_115 KV_MOU-PPG:Mountain-Gardners (974) 115 kV line,GARDNERS 115KV - MOUN ME 115KV (GARDNERS 115 KV GAR-MOU),high,medium,0.8967,0.5015,False,True,0.6991,True,medium_confidence
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2),high,medium,0.8194,0.5786,False,False,0.6990000000000001,False,medium_confidence
DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1),high,medium,0.8194,0.5786,False,False,0.6990000000000001,False,medium_confidence
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2),high,medium,0.8194,0.5786,False,False,0.6990000000000001,False,medium_confidence
DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1),high,medium,0.8194,0.5786,False,False,0.6990000000000001,False,medium_confidence
ASHBURN 230 KV  ASH-GOOS,ASHBURN 230 KV ASH-GOOS L230.Beaumead-Ashburn-PleasantView.274,GOOSECRE 230KV - ASHBURN 230KV (ASHBURN 230 KV ASH-GOOS),high,medium,0.8417,0.5561,False,False,0.6989000000000001,False,medium_confidence
AMOS 345 KV AMOS 7-P XFORMER,AMOS_345 KV_8-P:345/138.Amos.7,AMOS     8-P      XFORMER   H  345 KV,high,medium,0.8452,0.55,True,False,0.6976,True,medium_confidence
HALFWAY 138 KV HALFWAY-PARAMOUN,HALFWAY_138 KV_HAL-PAR:L500.Bedington-Doubs,HALFWAY 138KV - PARAMOUN 138KV (HALFWAY 138 KV HAL-PAR),high,medium,0.9214,0.4722,False,True,0.6968,True,medium_confidence
LEESVILL 138 KV LEESVILL-SMITHMOU,LEESVILL_138 KV_LEE-SMI1:L138.Redeye-SmithMou,SMITHMOU 138KV - LEESVILL 138KV (LEESVILL 138 KV LEE-SMI1),high,medium,0.88,0.5136,False,True,0.6968,True,medium_confidence
SALTSPRG 138 KV SALTSPRG-MASURY,SALTSPRG_138 KV_SAL-MAS1:L138.Masury-Shenango,MASURY 138KV - SALTSPRG 138KV (SALTSPRG 138 KV SAL-MAS1),high,medium,0.88,0.5136,False,True,0.6968,True,medium_confidence
ABINGDON-SABINGDN ABI-SAB   A  138 KV,ABINGDON_138 KV_ABI-SAB:L138.Nagel-WestKingsport,ABINGDON 138KV - SABINGDN 138KV (ABINGDON 138 KV ABI-SAB),high,medium,0.9214,0.4722,False,False,0.6968,False,medium_confidence
SALTSPRG 138 KV SALTSPRG-MASURY,SALTSPRG_138 KV_SAL-MAS1:L138.Masury-Shenango,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1),high,medium,0.88,0.5136,False,True,0.6968,True,medium_confidence
SALTSPRG 138 KV SALTSPRG-MASURY,SALTSPRG_138 KV_SAL-MAS1:L138.Masury-Shenango,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1),high,medium,0.88,0.5136,False,True,0.6968,True,medium_confidence
HENRIETA 138 KV HENRIETA-BEAVER BEA-HEN1,HENRIETA_138 KV_BEA-HEN1:L345.Beaver-LakeAvenue.1,BEAVER 138KV - HENRIETA 138KV (HENRIETA 138 KV BEA-HEN1),high,medium,0.88,0.5136,False,True,0.6968,True,medium_confidence
COLONIAL115 KV COL-ROC1,COLONIAL_115 KV_COL-ROC1:ACTUAL,COLONIAL115 KV  COL-ROC1,high,low,0.9571,0.4357,False,False,0.6963999999999999,False,medium_confidence
LACKAWAN230 KV  LAC-SUM2,LACKAWAN_230 KV_LAC-SUM2:ACTUAL,LACKAWAN230 KV  LAC-SUM2,high,low,0.9571,0.4357,False,True,0.6963999999999999,True,medium_confidence
YUKON 500 KV YUKON TRAN 2 XFORMER,YUKON_500 KV_TRAN 7:500/138.Yukon.TR5,YUKON    TRAN  2  XFORMER   H  500 KV,high,medium,0.9086,0.4833,True,True,0.69595,True,medium_confidence
CENTER-WESTPORT 110552 A 115 KV,CENTER 115 KV CEN-WES2 Westport-Center (110551) 115 KV line,WESTPORT 115KV - CENTER 115KV (CENTER 115 KV CEN-WES2),high,high,0.9111,0.7045,True,False,0.8078000000000001,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9403,0.6661,False,True,0.8032,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9479,0.6507,False,True,0.7992999999999999,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9479,0.6507,False,True,0.7992999999999999,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9403,0.6507,False,True,0.7955,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9403,0.6507,False,True,0.7955,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.942,0.6474,False,True,0.7947,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True,0.79095,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True,0.79095,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True,0.79095,True,ambiguous
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True,0.79095,True,ambiguous
JACK ME 230 KV JACK ME-TMI 1051,JACK ME_230 KV_JAC-TMI:500/230.Conastone.500-4,TMI 230KV - JACK ME 230KV (JACK ME 230 KV JAC-TMI),high,medium,0.9278,0.6389,False,True,0.78335,True,ambiguous
JACK ME 230 KV JACK ME-TMI 1051,JACK ME_230 KV_JAC-TMI:500/230.Conastone.500-4,TMI 230KV - JACK ME 230KV (JACK ME 230 KV JAC-TMI),high,medium,0.9278,0.6389,False,True,0.78335,True,ambiguous
DAUPHIN 230 KV DAUPHIN-JUNIATA 1087,DAUPHIN_230 KV_DAU-JUN:500/230.Juniata.T1,JUNIATA 230KV - DAUPHIN 230KV (DAUPHIN 230 KV DAU-JUN),high,medium,0.9354,0.623,False,True,0.7792,True,ambiguous
DAUPHIN 230 KV DAUPHIN-JUNIATA 1087,DAUPHIN_230 KV_DAU-JUN:500/230.Juniata.T1,JUNIATA 230KV - DAUPHIN 230KV (DAUPHIN 230 KV DAU-JUN),high,medium,0.9368,0.6194,False,True,0.7781,True,ambiguous
DAUPHIN 230 KV DAUPHIN-JUNIATA 1087,DAUPHIN_230 KV_DAU-JUN:500/230.Juniata.T1,JUNIATA 230KV - DAUPHIN 230KV (DAUPHIN 230 KV DAU-JUN),high,medium,0.9368,0.6194,False,True,0.7781,True,ambiguous
JACK ME 230 KV JACK ME-TMI 1051,JACK ME_230 KV_JAC-TMI:500/230.Conastone.500-4,TMI 230KV - JACK ME 230KV (JACK ME 230 KV JAC-TMI),high,medium,0.9214,0.6344,True,True,0.7779,True,ambiguous
JACK ME 230 KV JACK ME-TMI 1051,JACK ME_230 KV_JAC-TMI:500/230.Conastone.500-4,TMI 230KV - JACK ME 230KV (JACK ME 230 KV JAC-TMI),high,medium,0.9214,0.6344,True,True,0.7779,True,ambiguous
JACK ME 230 KV JACK ME-TMI 1051,JACK ME_230 KV_JAC-TMI:500/230.Conastone.500-4,TMI 230KV - JACK ME 230KV (JACK ME 230 KV JAC-TMI),high,medium,0.9214,0.6344,True,True,0.7779,True,ambiguous
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,BAGLEY_230 KV_BAG-GRA:L230.Graceton-Bagley-RaphaelRoad.2313,BAGLEY  -GRACETON BAG-GRA   B  230 KV,high,medium,0.9769,0.5722,True,True,0.7745500000000001,True,ambiguous
