dataset,CID,NAME,CONSTRAINT,CONTINGENCY,TOZONE,REPORTEDNAME,CONSTRAINTID,CONTINGENCYID,PID,Monitored Facility,Contingency Name,Earliest,Latest
dayzer,1.0,Eastern Interface,,,,,,,,,,,
dayzer,2.0,Central Interface,,,,,,,,,,,
dayzer,3.0,Western Interface,,,,,,,,,,,
dayzer,4.0,BCPEP Interface,,,,,,,,,,,
dayzer,6.0,Black Oak - Bedington Interface,,,,,,,,,,,
market,,,NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,L500.CONASTONE-PEACHBOTTOM.5012,,NOTTINGHM 2-3 SER DEV       A  230 KV,10002384305.0,10002493264.0,,,,,
market,,,LENOX 115 KV LENOX-NMESHOPP NML 1090,L230.ETOWANDA-HILLSIDE.2002 [NYISO],PENELEC,LENOX-NMESHOPP NML 1090     B  115 KV,10000566138.0,10001865201.0,,,,,
market,,,EASTON  69 KV   EAS-EMU,ACTUAL,DPL,EASTON  69 KV   EAS-EMU,10004072634.0,10000680485.0,,,,,
market,,,SAYRECON230 KV SAY-SAY,ACTUAL,JCPL,SAYRECON230 KV  SAY-SAY,10001822928.0,10000680485.0,,,,,
market,,,MOUN UGI 230 KV MOUN UGI 2 XFORMER,230/66.MOUNTAIN.T1 (SCTNLZ),,MOUN UGI230 KV  2,10000465752.0,10016012236.0,,,,,
pano,,,,,,,,,1.0,CHIC_AVE 138KV - PRAXAIR3 138KV (CHIC_AVE 138 KV CHI-PRA2),L765.Dumont-WiltonCenter.11215,2017-06-29 00:00:00-04:00,2026-04-28 23:00:00-04:00
pano,,,,,,,,,2.0,177 BURN 345KV - MUNSTER2 345KV (177 BURN 345 KV BUR-MUN1),L765.Dumont-WiltonCenter.11215,2016-11-23 03:00:00-05:00,2026-04-28 23:00:00-04:00
pano,,,,,,,,,3.0,CONASTON 500KV - CONASTON 230KV (CONASTON 500 KV 500-4),L500.Brighton-Conastone.5011,2021-02-17 06:00:00-05:00,2026-04-28 23:00:00-04:00
pano,,,,,,,,,4.0,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1),L345.Niles-Shenango,2025-11-03 09:40:00-05:00,2026-04-28 23:00:00-04:00
pano,,,,,,,,,5.0,BURMA 115KV - PINEY 115KV (BURMA 115 KV BUR-PIN),L230.Glade-Warren.2088,2022-07-06 11:00:00-04:00,2026-04-28 23:00:00-04:00
