fold_name,model,runtime_seconds
validate_2022_to_2023,baseline_lag_168h / baseline_historical_mean,0.0
validate_2022_to_2023,direct_xgb_cyclical_kmeans,0.747
validate_2022_to_2023,research_lightgbm_cyclical_kmeans,0.951
validate_2022_to_2023,research_random_forest_cyclical_kmeans,23.441
validate_2022_to_2023,zone_allocated_hgb,1.192
validate_2022_2023_to_2024,baseline_lag_168h / baseline_historical_mean,0.0
validate_2022_2023_to_2024,direct_xgb_cyclical_kmeans,0.9
validate_2022_2023_to_2024,research_lightgbm_cyclical_kmeans,1.343
validate_2022_2023_to_2024,research_random_forest_cyclical_kmeans,53.688
validate_2022_2023_to_2024,zone_allocated_hgb,1.08
holdout_2022_2024_to_2025,baseline_lag_168h / baseline_historical_mean,0.0
holdout_2022_2024_to_2025,direct_xgb_cyclical_kmeans,1.355
holdout_2022_2024_to_2025,research_lightgbm_cyclical_kmeans,1.555
holdout_2022_2024_to_2025,research_random_forest_cyclical_kmeans,75.186
holdout_2022_2024_to_2025,zone_allocated_hgb,1.362
