horizon,model,rows,mae,rmse,wmape,level
next_day,baseline_historical_mean,480,17.916854924242426,30.2282818521453,0.136753769373494,bus
next_day,baseline_lag_168h,480,6.8381625,13.43886904002714,0.052193563067711,bus
next_day,direct_catboost_cyclical_kmeans,480,8.698985980399263,17.882867428456972,0.0663966487185852,bus
next_day,direct_hgb_cyclical,480,9.969615833005951,22.04067388120401,0.0760949703580232,bus
next_day,direct_hgb_raw_time,480,10.88614125941097,23.798521640826593,0.0830905232783042,bus
next_day,direct_xgb_cyclical,480,14.2292972337087,28.17370168448111,0.1086077908468511,bus
next_day,direct_xgb_cyclical_kmeans,480,5.082783627637228,7.837503399167907,0.0387953032453692,bus
next_day,zone_allocated_hgb,480,9.914664745716296,15.031485881745606,0.0756755458357057,bus
next_month,baseline_historical_mean,13914,19.563705369698575,32.49954760240045,0.1347758841872809,bus
next_month,baseline_lag_168h,3285,6.683953424657535,12.709112768995247,0.0479987467608292,bus
next_month,direct_catboost_cyclical_kmeans,13914,28.47038959830397,55.210864622510776,0.196134722883884,bus
next_month,direct_hgb_cyclical,13914,54.525257203650945,135.0179654549975,0.3756287273444146,bus
next_month,direct_hgb_raw_time,13914,54.90801206296957,136.95191072815553,0.3782655552671836,bus
next_month,direct_xgb_cyclical,13914,55.53029311744698,134.28861742896234,0.3825524977325964,bus
next_month,direct_xgb_cyclical_kmeans,13914,22.62866195188947,33.54807673883495,0.1558906078837546,bus
next_month,zone_allocated_hgb,13914,24.36527287709441,36.34032377067122,0.1678542552864753,bus
next_day,baseline_historical_mean,96,79.12004971590909,133.2050217449986,0.1207797359237289,zone_aggregated
next_day,baseline_lag_168h,96,20.08941666666667,37.90061039718446,0.0306672512033807,zone_aggregated
next_day,direct_catboost_cyclical_kmeans,96,17.356071768887546,31.72726928659352,0.0264946972663241,zone_aggregated
next_day,direct_hgb_cyclical,96,39.53591230594529,64.2225369481996,0.0603530592430304,zone_aggregated
next_day,direct_hgb_raw_time,96,44.97711572362241,71.83869355805,0.0686592612013716,zone_aggregated
next_day,direct_xgb_cyclical,96,59.94816133562724,91.93405377060492,0.0915131262079359,zone_aggregated
next_day,direct_xgb_cyclical_kmeans,96,13.062733354886376,23.121268057325292,0.0199407544700774,zone_aggregated
next_day,zone_allocated_hgb,96,20.25858045373839,32.27425318105384,0.0309254860958478,zone_aggregated
next_month,baseline_historical_mean,2880,68.59888153813777,124.52610437358555,0.0978179596004055,zone_aggregated
next_month,baseline_lag_168h,2880,549.3039208333333,982.8046868738104,0.7832749970791727,zone_aggregated
next_month,direct_catboost_cyclical_kmeans,2880,73.50859054059157,130.6902877460104,0.1048189150982699,zone_aggregated
next_month,direct_hgb_cyclical,2880,196.75842697200525,335.9015873310534,0.2805659134527842,zone_aggregated
next_month,direct_hgb_raw_time,2880,209.93931160859825,356.0132798152783,0.2993610776299589,zone_aggregated
next_month,direct_xgb_cyclical,2880,195.95672834693065,335.8935903322257,0.2794227384918972,zone_aggregated
next_month,direct_xgb_cyclical_kmeans,2880,49.083730922815526,83.05915783285016,0.0699905056874121,zone_aggregated
next_month,zone_allocated_hgb,2880,88.12616102694649,149.56184665549074,0.1256627085717161,zone_aggregated
next_day,research_elasticnet_cyclical_kmeans,480,20.13075075356298,25.334366218868823,0.1536517462193184,bus
next_day,research_lightgbm_cyclical_kmeans,480,5.121938226181978,8.014969758097662,0.0390941580924917,bus
next_day,research_random_forest_cyclical_kmeans,480,6.423330394880361,10.55103790503921,0.0490272789027656,bus
next_day,research_ridge_cyclical_kmeans,480,21.399916041220308,27.40431817709481,0.1633388892909685,bus
next_month,research_elasticnet_cyclical_kmeans,13914,35.42116440832766,63.62376905417485,0.2440191498421119,bus
next_month,research_lightgbm_cyclical_kmeans,13914,24.24531706844259,39.36144716209856,0.1670278704136235,bus
next_month,research_random_forest_cyclical_kmeans,13914,17.037379974563322,26.102749743884814,0.1173718325293826,bus
next_month,research_ridge_cyclical_kmeans,13914,35.455770416348464,62.69607660914247,0.2442575533163546,bus
next_week,research_elasticnet_cyclical_kmeans,3285,30.53816028056573,49.10874687144937,0.2193003644281962,bus
next_week,research_lightgbm_cyclical_kmeans,3285,19.225519298525043,32.96533068381273,0.1380621278345637,bus
next_week,research_random_forest_cyclical_kmeans,3285,12.89110283883671,19.666056519455125,0.0925734728112401,bus
next_week,research_ridge_cyclical_kmeans,3285,30.59185920532731,47.884992519993766,0.2196859866680897,bus
next_day,research_elasticnet_cyclical_kmeans,96,47.68597572125324,71.89591602204976,0.0727944380161356,zone_aggregated
next_day,research_lightgbm_cyclical_kmeans,96,15.734691988176676,23.852610486791026,0.024019599962297,zone_aggregated
next_day,research_random_forest_cyclical_kmeans,96,18.32681833833797,35.174665801228166,0.0279765784674618,zone_aggregated
next_day,research_ridge_cyclical_kmeans,96,47.748305767694966,71.4361292263885,0.072889587179671,zone_aggregated
next_month,research_elasticnet_cyclical_kmeans,2880,160.21286483430254,279.46683828975364,0.2284540970411348,zone_aggregated
next_month,research_lightgbm_cyclical_kmeans,2880,56.03329119788252,97.40475604695852,0.0799001688041374,zone_aggregated
next_month,research_random_forest_cyclical_kmeans,2880,46.4137159604595,81.16378319046275,0.0661832218095399,zone_aggregated
next_month,research_ridge_cyclical_kmeans,2880,160.58991096772382,279.8745351696093,0.2289917425919007,zone_aggregated
next_week,research_elasticnet_cyclical_kmeans,672,139.2345938717869,240.63599021561615,0.2045396623738434,zone_aggregated
next_week,research_lightgbm_cyclical_kmeans,672,43.91847080889505,79.95911888912876,0.0645175092010458,zone_aggregated
next_week,research_random_forest_cyclical_kmeans,672,40.55736260618831,68.93101536869182,0.059579943630117,zone_aggregated
next_week,research_ridge_cyclical_kmeans,672,138.98955367627772,239.7648815952245,0.2041796912096109,zone_aggregated
next_day,research_tcn_lightweight,4,156.37913513183594,157.54335021972656,0.5456364750862122,bus
next_day,research_gru_lightweight,4,139.15719604492188,151.7188262939453,0.4855458736419678,bus
next_day,research_lstm_lightweight,4,161.0047149658203,169.5028839111328,0.5617759823799133,bus
