feature,mean_abs_shap
cluster_avg_load,64.46772
lag_24h_pd,11.466163
zone_total_pd_lag_24h,4.0370836
doy_sin,2.5970783
lag_168h_pd,1.7099969
zone_total_pd_lag_168h,1.3109452
rolling_7d_std_pd,1.2842797
rolling_7d_mean_pd,1.0690644
historical_avg_bus_he_dow_pd,0.836939
dow_cos,0.67746896
hour_sin,0.5525199
bus_unique_id,0.5037677
hour_cos,0.200697
kmeans_cluster,0.15806828
dow_sin,0.15682055
doy_cos,0.14438665
zone_name,0.10828763
rolling_28d_std_pd,0.10648985
rolling_28d_mean_pd,0.07397411
month_cos,0.0
month_sin,0.0
cluster_confidence,0.0
